City,Average Weekly Workplace Earnings 2012  (£),Average Weekly Workplace Earnings 2013  (£),Average Weekly Workplace Earnings 2014  (£),Average Weekly Workplace Earnings 2015  (£),Average Weekly Workplace Earnings 2016  (£),Average Weekly Workplace Earnings 2017  (£),CO2 Emissions per Capita 2005  (tons),CO2 Emissions per Capita 2006  (tons),CO2 Emissions per Capita 2007  (tons),CO2 Emissions per Capita 2008  (tons),CO2 Emissions per Capita 2009  (tons),CO2 Emissions per Capita 2010  (tons),CO2 Emissions per Capita 2011  (tons),CO2 Emissions per Capita 2012  (tons),CO2 Emissions per Capita 2013  (tons),CO2 Emissions per Capita 2014  (tons),CO2 Emissions per Capita 2015  (tons),Employment Rate 2012  (%),Employment Rate 2013  (%),Employment Rate 2014  (%),Employment Rate 2015  (%),Employment Rate 2016  (%),Employment Rate 2017  (%),Housing stock 2015,Housing stock 2016,Mean house price  2014  (£),Mean house price  2015  (£),Mean house price  2016  (£),Mean house price  2017  (£),Other Private Services 2010  (%),Other Private Services 2011  (%),Other Private Services 2012  (%),People Born Outside the UK 2001  (%),People Born Outside the UK 2011  (%),People who Work from Home 2001  (%),People who Work from Home 2011  (%),Population 2006,Population 2007,Population 2008,Population 2009,Population 2010,Population 2011,Population 2012,Population 2013,Population 2014,Population 2015,Population 2016
Ipswich,452.5,446.1,448.4,454.9,492.5,506.1,5.8000507,5.6812449,5.471128,5.2749843,4.6840046,4.8085863,4.176963,4.3219564,4.2222247,3.6925293,3.4455945,73.7,75.4,74.8,73.3,73.75,73.69,60320,60810,170210.2132,176178.3697,201330.4,202863.5,41.24649,41.4256,42.34777,6.093842093,11.83275355,6.684536464,7.138166435,124800,125500,127400,129300,131700,133700,134500,134700,135000,135600,135900
Leeds,488.4,487.5,491.8,516.3,525.2,532.9,7.8184359,7.7726416,7.5624072,7.3808056,6.6660674,6.9041287,6.3039912,6.5535613,6.3471459,5.5628422,5.2885613,66.5,68.7,68.2,73.1,73.23,75.71,339520,341990,177992.8521,180379.5039,187240.3,193701.6,40.03458,40.41734,38.38166,6.645037469,11.46316959,7.426199548,8.345977901,736200,738600,741700,743900,747600,750700,757700,761500,766400,774100,781700
Leicester,444.8,456.8,456,469.2,469.1,479.8,7.1420703,6.950955,6.6725027,6.4940815,5.8524653,5.9969167,5.4138548,5.7924638,5.6185123,5.0731014,4.6351434,66.3,65.6,68.3,68.2,67.68,69.4,194750,196730,164158.5924,170771.4293,180068.5,191667.4,35.98026,36.00848,36.51064,17.60644392,26.14413949,7.997604765,7.717432801,455300,460500,465000,468800,474000,479700,482300,485000,489400,495000,501800
Liverpool,475.4,491.4,494.7,482.9,502.8,511.5,6.9777272,6.8756008,6.7315184,6.4411973,5.8821893,6.1046388,5.586102,5.8913847,5.637369,4.8285627,4.5511521,60.7,60.7,61,61.2,63.91,66.84,282790,285100,132415.478,134343.6372,132236.3,137107.5,37.20179,39.92788,40.73115,3.953653947,8.089229603,5.577414959,6.081967784,601800,601800,602300,604600,607800,611600,615600,616900,619500,625800,632500
London,677.5,681.8,677,674.3,695.9,726.7,6.586196,6.6718597,6.4167888,6.2181676,5.5370264,5.7272133,5.0817798,5.3594842,5.1031424,4.3915835,4.0662392,68.2,69.8,71.5,72.7,73.68,74.34,3960310,3994540,504565.3707,532290.1442,563636.7,592463.9,46.7445,46.86951,46.37915,24.84408142,34.01370191,8.710784962,9.681417591,8720900,8828600,8958900,9099500,9230300,9383800,9497800,9617300,9752300,9896000,10018200
Luton,441.3,504.4,479.3,515.9,528.4,571.2,5.8205812,5.7702075,5.4911692,5.3147731,4.664228,4.8708125,4.2721534,4.469981,4.2727521,3.6777537,3.4142275,67.3,64.8,67.6,68.1,68.5,69.81,77100,77730,177219.9328,198122.6161,227263.4,248168.9,47.84971,45.64143,47.37169,19.63996116,30.94079261,7.317783903,6.918083878,187300,189700,192100,195400,199600,203600,205800,208000,211000,214700,216800
Manchester,466.2,475.2,476.2,483.5,500.8,511.5,7.2352804,7.1872144,6.9077125,6.7586443,6.052951,6.2737449,5.5671399,5.9616421,5.7435999,4.9599988,4.6589091,65.8,67.2,67.6,68.6,69.71,70.39,1046030,1051580,164555.333,166773.8864,176482.1,186794.7,42.16486,41.4122,42.81829,7.962272629,13.19384153,7.826859795,8.199633489,2274200,2289200,2308000,2325500,2345500,2367300,2383500,2395300,2411900,2434100,2459200
Mansfield,421.4,419,431.2,422.1,453.8,472.4,7.3395204,7.1666882,6.9438133,6.9247171,6.1812185,6.3384778,5.6840876,5.9693672,5.9613694,5.4531707,5.1228586,65.7,67.4,68.8,76.4,74.47,71.55,102350,103300,130419.5427,131177.6093,136556.2,138577.5,39.04796,38.99224,37.46146,2.122227313,4.195782339,7.124034124,7.512271329,217100,218400,220200,221600,222700,224100,224900,226800,228400,230100,231900
Middlesbrough,423.9,431.5,440.8,451.8,452,476.8,32.5535798,31.3513478,32.0581173,30.5064067,26.2240196,17.8858969,15.149809,26.0875348,29.2648974,26.5035224,23.0474761,63.9,64,67.1,67.9,68.82,69.01,208310,209460,142884.4519,140537.8571,139109.5,138054.2,38.06083,37.87627,38.28261,3.110002896,4.993561895,6.98142113,6.942122885,463100,463100,463400,463100,464000,465400,466100,467100,468300,469600,471500
Milton Keynes,552.5,571.4,577.3,576.3,627.7,618.8,8.7146086,8.6546166,8.3920122,8.12508,7.2886993,7.2685462,6.464133,6.9881426,6.7785581,5.9469151,5.5976485,74.9,73.9,73.3,76,73.85,76.73,107550,108740,233865.6989,253916.9326,267142.3,280203.8,44.9127,46.0538,48.23404,9.8968873,18.54184333,8.561409353,9.77281798,227200,231000,235600,240200,245500,249900,252400,255700,259200,261800,264500
Newcastle,454.4,469.6,471.2,479.1,483.2,501.1,7.2412122,7.1343061,6.8656656,6.6692265,6.0152939,6.2133509,5.6019985,5.8904296,5.7121596,4.9575993,4.7556369,65.1,64.8,66.9,70.2,70.15,70.36,383580,385990,157916.3691,159769.4223,161049,162130.9,39.37971,39.37164,40.06482,3.934374686,7.277296191,6.920218038,6.907169365,808100,811600,814300,818400,824000,828800,832500,837500,841800,845000,850800
Newport,416.3,444.9,433.5,443.7,464.9,473,11.5934608,11.7988976,10.8088677,10.2772675,8.5165557,9.1835873,8.3060298,8.1681318,8.3664864,7.4132706,6.9090111,67.3,66.9,69.3,69.7,69.38,73.79,106155,107117,154379.1836,153418.5116,157643.5,157859.7,37.66992,37.08732,38.65919,3.384528996,6.240841853,6.522438993,6.983920741,231400,232400,233800,235000,235900,237000,237500,238000,238500,239600,241200
Northampton,476,505.2,481.7,465.8,491.1,508.4,7.1270765,6.9121237,6.6034751,6.4655651,5.6140981,5.7719055,5.191922,5.5608957,5.2797821,4.6896622,4.3002671,73.2,73.5,73.3,78.6,78.66,77.31,94090,94830,178487.3596,186578.1501,196791,216791.4,45.80493,44.96345,42.75416,8.579715809,16.32817621,7.450284754,7.919132519,200400,203000,205600,207900,210100,212500,214600,216700,219500,222500,225500
Norwich,415.5,435.3,422.3,432.1,436.6,450,7.5889956,7.5279776,7.2385211,7.0986836,6.6549573,7.1103268,6.2782009,6.3208538,6.175566,5.5241751,5.3074428,75.1,74.2,71.8,75.5,79.32,77.66,120550,121680,201041.1273,212385.9874,227286.6,240216.6,43.21365,44.04158,43.6021,4.714438645,8.676377947,8.2667073,9.2808454,249200,250200,251400,253000,255400,256900,259500,261400,263400,265500,268500
Nottingham,449.4,451.1,457.4,454.8,469.5,486.1,7.3834014,7.1714771,6.9911132,6.7237411,6.1217509,6.4983357,5.600433,5.7380308,5.5060328,4.9022678,4.6178123,66.6,65.9,67.1,69.1,71.93,68.67,286350,287940,148368.1599,153239.4853,161155.4,170148.4,41.4904,43.80909,45.23447,6.731252892,12.26234451,7.404698855,8.127884763,616400,618500,622600,628000,633800,639600,646300,650100,655700,661600,669400
Oxford,524.1,557.3,555.7,584.2,577.2,600.3,7.1082163,7.1348515,6.7277552,7.0785241,6.3684425,6.5845592,5.8935583,6.2402982,5.9245768,4.7593374,4.2648813,72.6,71.5,75,75.5,74.58,79.72,58030,58400,425723.9021,453215.9185,485554,523150.3,12.94438,15.06691,13.43371,19.30651769,28.46431346,8.434015643,10.43878121,144500,144200,144400,145500,147900,150200,152500,154800,158000,159600,161300
Peterborough,455.9,486.1,479.7,483.1,510.7,497.2,8.2490643,8.0838332,7.946801,7.7242904,6.9434248,7.0706121,6.4796171,6.686234,6.4600578,5.7065271,5.4046151,68.9,70.7,74,74.1,75.47,74.61,80480,81400,170642.5118,169119.324,184039.7,191913.9,47.16286,48.69782,50.63666,9.769054302,20.63486013,7.537798155,8.130025896,169900,172400,176000,179000,181800,184500,186400,188400,190500,194000,197100
Plymouth,457.5,456.2,461.9,472.6,460.3,466.8,5.9670937,5.9544229,5.8201138,5.6278573,5.1079912,5.2282714,4.7305016,4.8865539,4.7101496,4.0355387,3.8459315,70.1,70.2,71.7,73.4,74.04,75.54,115560,116690,171481.5259,176049.0015,178588,182856.8,39.61903,39.02297,38.1673,4.313217173,7.101457189,6.59253824,6.723647694,249200,251200,252500,253100,254200,256600,258000,259200,261500,262700,264200
Portsmouth,497.5,476.5,506.6,503.3,514.6,519.7,6.1135095,6.0365476,5.8179318,5.7223123,5.1461589,5.3156396,4.7873174,5.0124903,4.8223045,4.1295823,3.9955085,72.7,74.1,72.9,75,74.3,74.78,229250,230800,214563.6596,222162.1275,236903,253891.9,43.31596,43.82372,43.01958,5.675097444,8.179742779,7.490428154,8.258740078,501800,503200,507000,511200,516500,520800,524200,526100,529900,534200,539200
Preston,428.7,430,432.7,448.4,458.9,479.6,8.5870593,8.4437312,8.1563526,7.9517033,7.2142121,7.5647237,6.8494552,7.0535976,6.8685974,6.304957,6.1390388,74.1,73.1,72.9,72.7,76.65,77.16,159290,160810,162741.2297,166522.6285,164398.9,163179,42.40625,39.76094,41.9436,5.302528935,7.506158568,8.22249016,8.958610482,348100,350000,351700,352200,354100,356800,358600,359800,361100,363900,366300
Reading,620.4,583.4,589.2,617.9,667.8,654.7,7.1221107,7.0499819,6.8157731,6.6959904,6.0430558,6.1135538,5.5205364,5.8369072,5.5184374,4.9060351,4.5641057,75.6,76.6,75.9,75.6,77.36,78.06,131400,132780,314089.1024,343159.3764,373852.3,389413.8,42.4777,42.50056,42.11263,11.54647329,18.60112617,9.120901825,11.06562715,298900,301800,304700,306500,308900,310300,313800,317100,319900,322100,324600
Sheffield,443.3,443,445.4,453.2,464.7,474.2,8.2265363,7.6260574,7.3412924,7.1844901,6.1774036,6.4981964,6.0295354,6.1908221,6.1062608,5.4173698,4.9510096,64.8,67.3,69.2,70.1,68.58,69.44,355010,357180,156992.399,156837.3635,161754,168347.1,38.81488,37.58811,35.97379,5.131070894,9.589025875,6.986211586,7.600733875,781300,784100,789300,794700,801500,809500,815700,818800,823800,830500,837300
Slough,634.5,648.6,601.8,633.2,588.7,606.4,6.8653298,6.6047022,6.5468194,6.325829,6.5235694,7.1389473,6.682728,7.2520457,6.716515,5.2007537,5.2441786,67.7,70.1,70.9,74.6,74.27,74.12,53080,53870,238923.1788,269211.1081,296003.1,328067.3,51.30956,52.45697,53.79493,23.97540984,38.9800649,7.303582437,7.395245171,125200,128000,131500,134700,137800,140700,141800,143000,144600,145700,147200
Southampton,460.6,469.3,499,495.4,555.8,579.2,6.4144817,6.2652544,6.0142211,5.912555,5.3481772,5.4157719,4.8971401,5.1196377,4.7966961,4.1529673,3.9796056,69.8,72.6,74.2,76.8,76.12,76.47,158260,159760,207511.8452,222118.0855,242221,247131.2,40.80963,41.41321,41.14436,7.49214666,14.05265673,7.361074367,7.828968023,346100,347800,349800,352400,357300,361700,366200,369900,374200,378600,383900
Southend,386.9,405.7,403.1,404.9,403.6,413,5.4121951,5.3352271,5.1596295,5.0130977,4.5679143,4.7182397,4.1938707,4.4602878,4.2895274,3.7034011,3.5665275,73,73.2,73.3,74.1,77.66,75.91,152850,153350,242232.7764,261461.6379,285032.9,317580,44.20986,44.0376,41.7536,4.434657266,6.749846357,8.204357222,9.247815766,332800,335500,339200,341200,343700,345600,346900,348300,351600,353000,355200
Stoke,408.3,442.4,484.8,429.7,441.4,455.4,7.8594271,7.7751795,7.6680655,7.3844139,6.766407,6.752034,6.1495432,6.2598424,6.1837808,5.893659,5.9113864,67,70,67.5,70.9,72.34,73.68,169100,169680,120074.4332,122883.9659,126648.3,131792.7,42.06866,42.10998,43.55433,3.46882333,7.224327463,7.193206055,7.200483457,366300,367200,368700,368900,370700,372600,374100,375500,377100,378700,381700
Sunderland,439.6,448.5,449.7,451.7,475.2,483.9,7.2046998,7.1380591,6.7676788,6.6400186,5.9757779,6.2342931,5.6833576,6.1035544,5.9591085,5.3283927,4.7954671,63.2,65.3,66.1,63.7,66.97,69.26,125220,126110,130467.3224,126461.7682,124069.1,126829.4,38.20435,36.95998,36.09246,2.393407713,4.103358911,6.170091574,6.340989705,278400,277800,276800,276200,276000,275300,275700,276100,276900,277200,278000
Swansea,421.4,429.5,438.8,440.5,452.2,464.1,25.645272,26.3549508,27.1149661,25.8902071,20.4280103,26.6548293,23.5460122,19.4468801,26.7349409,26.7505085,24.587669,62.9,65.5,66.5,67.6,68.69,69.19,175407,176157,142869.2352,139607.7286,145079.3,145989.1,35.4676,36.0295,37.25668,2.896018917,5.498172027,7.205929186,7.608809876,369100,371400,373600,375100,376900,378600,379700,380200,381800,383400,386100
Swindon,495.6,516.2,504.6,536.3,564.6,560.2,8.5109609,8.4352383,8.1279248,8.0245506,6.9390896,7.0918112,6.3209324,6.7012395,6.3964015,5.6544001,5.3450172,73.3,73.4,77.8,76.3,78.97,80.59,93900,95340,180927.7685,195877.2118,206480.2,223356.2,50.12204,49.68889,48.00078,7.593875137,12.88081623,7.084778953,8.081352341,192300,196900,201500,204400,206900,209700,211900,214000,215800,217200,217900
Telford,442.7,463.5,453.1,477.2,486.1,497,8.9643608,9.0633565,8.3835256,7.9978988,7.0377528,7.3145808,6.8012815,6.8992151,6.768303,6.3212964,5.4094316,70.1,68.4,73.1,70.9,75.42,74.91,71960,73210,161405.7875,158106.5471,161685.9,168904.6,38.92686,39.47001,43.51814,5.078633234,7.283321632,7.756951541,8.078140152,162700,163400,164100,164900,165600,166800,167700,168500,169400,171200,173000
Wakefield,435.7,466.4,447.8,460.1,462.9,483,8.8351092,8.5004726,8.2461539,8.0907233,7.3041551,7.5200009,6.9541142,7.3732013,7.1370076,6.464095,6.4982888,68.8,70.1,70.8,71.7,71.34,73.04,149690,151610,144508.4263,142312.4284,146111,148828.5,47.17925,47.56594,46.01949,2.519584606,5.39134598,6.914989965,7.490713175,320300,321700,323300,324500,325600,326400,327600,329700,331400,333800,336800
Warrington,463.4,487.4,488.1,485.9,512.1,510.2,9.7692094,9.7431839,9.5937114,9.1804664,8.3469652,8.71256,7.6363977,7.9998778,7.8022306,6.7418222,6.5425399,75,77.3,79.6,76.9,78.53,77.33,90570,91170,186339.1481,195776.168,196257.7,203321,50.66744,50.49899,51.50789,3.317912541,5.691101133,8.260307584,9.256762116,194600,196600,198200,200100,201300,202700,203700,205100,206400,207700,208800
Wigan,411.5,430.5,399.7,416.8,421.2,436.4,6.579588,6.5465085,6.3227146,6.2002606,5.567598,5.8083579,5.1608028,5.4432629,5.2210832,4.7457204,4.4797872,70.9,70.1,72.2,75.9,76.55,75.74,143220,143860,128501.2555,131650.9498,131238.7,135973.5,43.83684,44.35643,45.36062,2.00457183,3.521483472,7.160291721,7.247111562,308000,309400,312000,314400,316300,318100,318700,319700,321000,322000,323100
Worthing,438.6,468.2,449.5,464,433.5,455.3,5.7140611,5.6891921,5.5132044,5.3430815,4.8078037,4.9376907,4.442637,4.5286412,4.3561975,3.853703,3.6414415,78.2,73.4,70.2,73.3,80.37,83.07,49220,49700,243133.5288,262046.5846,279452.5,295129.4,34.10766,37.12913,35.94253,6.209448448,9.418960245,8.692405178,10.41473198,100600,101500,102400,102800,103800,105000,105700,106100,106900,107700,108600
York,454,458.1,447.1,458.9,469.3,500.7,7.0015422,6.9372396,6.3297232,6.1753548,5.6208744,5.8914715,5.2494854,5.4209419,5.2661894,4.7060452,4.3977294,75.7,73.3,74,74.5,76.68,77.33,87210,87900,223937.6414,240950.9983,248391.4,264583.3,44.02492,44.9123,42.61361,5.120714791,9.203689959,7.870290826,9.417449175,189000,189800,190800,192400,195100,197800,200000,202400,204400,206900,208400
